"","treatment","group_id","group_estim","true_prob"
"123","ftf","py05phvl",0.4,0.45
"124","ftf","py05phvl",0.13,0.2
"125","ftf","py05phvl",0.75,0.7
"126","ftf","py05phvl",0.6,0.8
"127","ftf","py05phvl",0.4,0.55
"128","ftf","py05phvl",0.5,0.3
"129","ftf","py05phvl",0.35,0.1
"130","ftf","py05phvl",0.25,0.4
"131","ftf_ha","lhhglkzv",0.2,0.4
"132","ftf_ha","lhhglkzv",0.33,0.55
"133","ftf_ha","lhhglkzv",0.03,0.2
"134","ftf_ha","lhhglkzv",0.6,0.3
"135","ftf_ha","lhhglkzv",0.45,0.6
"136","ftf_ha","lhhglkzv",0.15,0.45
"137","ftf_ha","lhhglkzv",0.9,0.7
"138","ftf_ha","lhhglkzv",0.15,0.1
"139","ftf_ha","lhhglkzv",0.9,0.8
"140","ftf_ha","lhhglkzv",0.75,0.9
"141","ftf_ha","26kpd1gz",0.575,0.3
"142","ftf_ha","26kpd1gz",0.63,0.8
"143","ftf_ha","26kpd1gz",0.35,0.4
"144","ftf_ha","26kpd1gz",0.55,0.6
"145","ftf_ha","26kpd1gz",0.63,0.7
"146","ftf_ha","26kpd1gz",0.46,0.55
"147","ftf_ha","26kpd1gz",0.73,0.9
"148","ftf_ha","26kpd1gz",0.34,0.1
"149","ftf_ha","26kpd1gz",0.34,0.2
"150","ftf_ha","26kpd1gz",0.37,0.45
"151","ftf_ha","rr692esi",0.57,0.7
"152","ftf_ha","rr692esi",0.3,0.55
"153","ftf_ha","rr692esi",0.25,0.1
"154","ftf_ha","rr692esi",0.38,0.2
"155","ftf_ha","rr692esi",0.45,0.45
"156","ftf_ha","rr692esi",0.83,0.3
"157","ftf_ha","rr692esi",0.16,0.6
"158","ftf_ha","rr692esi",0.15,0.4
"159","ftf_ha","rr692esi",0.85,0.9
"160","ftf_ha","rr692esi",0.69,0.8
"161","ftf_ha","jbfb9k04",50,0.4
"162","ftf_ha","jbfb9k04",0.3,0.55
"163","ftf_ha","jbfb9k04",0.1,0.2
"164","ftf_ha","jbfb9k04",0.8,0.8
"165","ftf_ha","jbfb9k04",0.7,0.3
"166","ftf_ha","jbfb9k04",0.25,0.1
"167","ftf_ha","jbfb9k04",0.66,0.7
"168","ftf_ha","jbfb9k04",0.65,0.9
"169","ftf_ha","jbfb9k04",0.51,0.6
"170","ftf_ha","jbfb9k04",0.39,0.45
"171","ftf_ha","52hwewj5",0.275,0.1
"172","ftf_ha","52hwewj5",0.375,0.3
"173","ftf_ha","52hwewj5",0.5,0.9
"174","ftf_ha","52hwewj5",0.275,0.55
"175","ftf_ha","52hwewj5",0.425,0.8
"176","ftf_ha","52hwewj5",0.175,0.2
"177","ftf_ha","52hwewj5",50,0.6
"178","ftf_ha","52hwewj5",50,0.45
"179","ftf_ha","52hwewj5",0.5,0.7
"180","ftf_ha","52hwewj5",50,0.4
"181","ftf_ha","vfc9j4gx",0.75,0.8
"182","ftf_ha","vfc9j4gx",0.3,0.45
"183","ftf_ha","vfc9j4gx",0.25,0.1
"184","ftf_ha","vfc9j4gx",0.8,0.9
"185","ftf_ha","vfc9j4gx",0.75,0.7
"186","ftf_ha","vfc9j4gx",0.3,0.55
"187","ftf_ha","vfc9j4gx",0.6,0.3
"188","ftf_ha","vfc9j4gx",0.2,0.2
"189","ftf_ha","vfc9j4gx",0.45,0.6
"190","ftf_ha","vfc9j4gx",0.4,0.4
"191","ftf_ha","cdgvd5vs",0.27,0.55
"192","ftf_ha","cdgvd5vs",0.8,0.8
"193","ftf_ha","cdgvd5vs",0.83,0.7
"194","ftf_ha","cdgvd5vs",0.55,0.6
"195","ftf_ha","cdgvd5vs",0.23,0.4
"196","ftf_ha","cdgvd5vs",0.26,0.45
"197","ftf_ha","cdgvd5vs",0.15,0.2
"198","ftf_ha","cdgvd5vs",0.25,0.1
"199","ftf_ha","cdgvd5vs",0.6,0.3
"200","ftf_ha","cdgvd5vs",0.72,0.9
"201","ftf_ha","3q3k8n2k",0.25,0.4
"202","ftf_ha","3q3k8n2k",0.77,0.8
"203","ftf_ha","3q3k8n2k",0.2,0.1
"204","ftf_ha","3q3k8n2k",0.2,0.2
"205","ftf_ha","3q3k8n2k",0.35,0.45
"206","ftf_ha","3q3k8n2k",0.25,0.55
"207","ftf_ha","3q3k8n2k",0.7,0.7
"208","ftf_ha","3q3k8n2k",0.72,0.9
"209","ftf_ha","3q3k8n2k",0.5,0.3
"210","ftf_ha","3q3k8n2k",0.5,0.6
"211","ftf_ha","vh7ies5g",0.65,0.7
"212","ftf_ha","vh7ies5g",0.35,0.1
"213","ftf_ha","vh7ies5g",0.3,0.55
"214","ftf_ha","vh7ies5g",0.35,0.45
"215","ftf_ha","vh7ies5g",0.5,0.9
"216","ftf_ha","vh7ies5g",0.25,0.4
"217","ftf_ha","vh7ies5g",0.5,0.6
