"","treatment","group_id","group_estim","true_prob"
"103","ftf","ifrsrt92",0.5,0.3
"104","ftf","ifrsrt92",0.37,0.4
"105","ftf","ifrsrt92",0.69,0.9
"106","ftf","ifrsrt92",0.43,0.55
"107","ftf","ifrsrt92",0.9,0.7
"108","ftf","ifrsrt92",0.33,0.45
"109","ftf","ifrsrt92",0.47,0.1
"110","ftf","ifrsrt92",0.1,0.2
"111","ftf","9ez5155g",0.325,0.55
"112","ftf","9ez5155g",0.9,0.7
"113","ftf","9ez5155g",0.55,0.6
"114","ftf","9ez5155g",0.95,0.8
"115","ftf","9ez5155g",0.25,0.1
"116","ftf","9ez5155g",0.6,0.9
"117","ftf","9ez5155g",0.05,0.2
"118","ftf","9ez5155g",0.3,0.45
"119","ftf","9ez5155g",0.5,0.3
"120","ftf","9ez5155g",0.3,0.4
"121","ftf","py05phvl",0.5,0.6
"122","ftf","py05phvl",0.5,0.9
"123","ftf","py05phvl",0.4,0.45
"124","ftf","py05phvl",0.13,0.2
"125","ftf","py05phvl",0.75,0.7
"126","ftf","py05phvl",0.6,0.8
"127","ftf","py05phvl",0.4,0.55
"128","ftf","py05phvl",0.5,0.3
"129","ftf","py05phvl",0.35,0.1
"130","ftf","py05phvl",0.25,0.4
"131","ftf","5782omy2",0.52,0.3
"132","ftf","5782omy2",0.58,0.6
"133","ftf","5782omy2",0.66,0.8
"134","ftf","5782omy2",0.69,0.7
"135","ftf","5782omy2",0.49,0.55
"136","ftf","5782omy2",0.62,0.9
"137","ftf","5782omy2",0.35,0.1
"138","ftf","5782omy2",0.3,0.4
"139","ftf","5782omy2",0.4,0.45
"140","ftf","5782omy2",0.23,0.2
"141","ftf","ch6p0l8g",0.5,0.3
"142","ftf","ch6p0l8g",0.25,0.45
"143","ftf","ch6p0l8g",0.6,0.6
"144","ftf","ch6p0l8g",0.3,0.55
"145","ftf","ch6p0l8g",0.15,0.1
"146","ftf","ch6p0l8g",0.95,0.7
"147","ftf","ch6p0l8g",0.25,0.4
"148","ftf","ch6p0l8g",0.05,0.2
"149","ftf","ch6p0l8g",0.95,0.8
"150","ftf","ch6p0l8g",0.6,0.9
"151","ftf_ha","lhhglkzv",0.2,0.4
"152","ftf_ha","lhhglkzv",0.33,0.55
"153","ftf_ha","lhhglkzv",0.03,0.2
"154","ftf_ha","lhhglkzv",0.6,0.3
"155","ftf_ha","lhhglkzv",0.45,0.6
"156","ftf_ha","lhhglkzv",0.15,0.45
"157","ftf_ha","lhhglkzv",0.9,0.7
"158","ftf_ha","lhhglkzv",0.15,0.1
"159","ftf_ha","lhhglkzv",0.9,0.8
"160","ftf_ha","lhhglkzv",0.75,0.9
"161","ftf_ha","26kpd1gz",0.575,0.3
"162","ftf_ha","26kpd1gz",0.63,0.8
"163","ftf_ha","26kpd1gz",0.35,0.4
"164","ftf_ha","26kpd1gz",0.55,0.6
"165","ftf_ha","26kpd1gz",0.63,0.7
"166","ftf_ha","26kpd1gz",0.46,0.55
"167","ftf_ha","26kpd1gz",0.73,0.9
"168","ftf_ha","26kpd1gz",0.34,0.1
"169","ftf_ha","26kpd1gz",0.34,0.2
"170","ftf_ha","26kpd1gz",0.37,0.45
"171","ftf_ha","rr692esi",0.57,0.7
"172","ftf_ha","rr692esi",0.3,0.55
"173","ftf_ha","rr692esi",0.25,0.1
"174","ftf_ha","rr692esi",0.38,0.2
"175","ftf_ha","rr692esi",0.45,0.45
"176","ftf_ha","rr692esi",0.83,0.3
"177","ftf_ha","rr692esi",0.16,0.6
"178","ftf_ha","rr692esi",0.15,0.4
"179","ftf_ha","rr692esi",0.85,0.9
"180","ftf_ha","rr692esi",0.69,0.8
"181","ftf_ha","jbfb9k04",0.5,0.4
"182","ftf_ha","jbfb9k04",0.3,0.55
"183","ftf_ha","jbfb9k04",0.1,0.2
"184","ftf_ha","jbfb9k04",0.8,0.8
"185","ftf_ha","jbfb9k04",0.7,0.3
"186","ftf_ha","jbfb9k04",0.25,0.1
"187","ftf_ha","jbfb9k04",0.66,0.7
"188","ftf_ha","jbfb9k04",0.65,0.9
"189","ftf_ha","jbfb9k04",0.51,0.6
"190","ftf_ha","jbfb9k04",0.39,0.45
"191","ftf_ha","52hwewj5",0.275,0.1
"192","ftf_ha","52hwewj5",0.375,0.3
"193","ftf_ha","52hwewj5",0.5,0.9
"194","ftf_ha","52hwewj5",0.275,0.55
"195","ftf_ha","52hwewj5",0.425,0.8
"196","ftf_ha","52hwewj5",0.175,0.2
"197","ftf_ha","52hwewj5",0.5,0.6
"198","ftf_ha","52hwewj5",0.5,0.45
"199","ftf_ha","52hwewj5",0.5,0.7
"200","ftf_ha","52hwewj5",0.5,0.4
"201","ftf_ha","vfc9j4gx",0.75,0.8
"202","ftf_ha","vfc9j4gx",0.3,0.45
"203","ftf_ha","vfc9j4gx",0.25,0.1
"204","ftf_ha","vfc9j4gx",0.8,0.9
"205","ftf_ha","vfc9j4gx",0.75,0.7
"206","ftf_ha","vfc9j4gx",0.3,0.55
"207","ftf_ha","vfc9j4gx",0.6,0.3
"208","ftf_ha","vfc9j4gx",0.2,0.2
"209","ftf_ha","vfc9j4gx",0.45,0.6
"210","ftf_ha","vfc9j4gx",0.4,0.4
"211","ftf_ha","cdgvd5vs",0.27,0.55
"212","ftf_ha","cdgvd5vs",0.8,0.8
"213","ftf_ha","cdgvd5vs",0.83,0.7
"214","ftf_ha","cdgvd5vs",0.55,0.6
"215","ftf_ha","cdgvd5vs",0.23,0.4
"216","ftf_ha","cdgvd5vs",0.26,0.45
"217","ftf_ha","cdgvd5vs",0.15,0.2
"218","ftf_ha","cdgvd5vs",0.25,0.1
"219","ftf_ha","cdgvd5vs",0.6,0.3
"220","ftf_ha","cdgvd5vs",0.72,0.9
"221","ftf_ha","3q3k8n2k",0.25,0.4
"222","ftf_ha","3q3k8n2k",0.77,0.8
"223","ftf_ha","3q3k8n2k",0.2,0.1
"224","ftf_ha","3q3k8n2k",0.2,0.2
"225","ftf_ha","3q3k8n2k",0.35,0.45
"226","ftf_ha","3q3k8n2k",0.25,0.55
"227","ftf_ha","3q3k8n2k",0.7,0.7
"228","ftf_ha","3q3k8n2k",0.72,0.9
"229","ftf_ha","3q3k8n2k",0.5,0.3
"230","ftf_ha","3q3k8n2k",0.5,0.6
"231","ftf_ha","vh7ies5g",0.65,0.7
"232","ftf_ha","vh7ies5g",0.35,0.1
"233","ftf_ha","vh7ies5g",0.3,0.55
"234","ftf_ha","vh7ies5g",0.35,0.45
"235","ftf_ha","vh7ies5g",0.5,0.9
"236","ftf_ha","vh7ies5g",0.25,0.4
"237","ftf_ha","vh7ies5g",0.5,0.6
"238","ftf_ha","vh7ies5g",0.75,0.8
"239","ftf_ha","vh7ies5g",0.1,0.2
"240","ftf_ha","vh7ies5g",0.3,0.3
"241","ftf_ha","4hoth10c",0.9,0.7
"242","ftf_ha","4hoth10c",0.1,0.4
"243","ftf_ha","4hoth10c",0.07,0.2
"244","ftf_ha","4hoth10c",0.37,0.45
"245","ftf_ha","4hoth10c",0.37,0.55
"246","ftf_ha","4hoth10c",0.85,0.9
"247","ftf_ha","4hoth10c",0.57,0.3
"248","ftf_ha","4hoth10c",0.17,0.1
"249","ftf_ha","4hoth10c",0.62,0.6
"250","ftf_ha","4hoth10c",0.92,0.8
"251","ftf_ha","se35up96",0.65,0.6
"252","ftf_ha","se35up96",0.85,0.7
"253","ftf_ha","se35up96",0.55,0.3
"254","ftf_ha","se35up96",0.3,0.4
"255","ftf_ha","se35up96",0.7,0.8
"256","ftf_ha","se35up96",0.68,0.9
"257","ftf_ha","se35up96",0.2,0.45
"258","ftf_ha","se35up96",0.27,0.55
"259","ftf_ha","se35up96",0.2,0.1
"260","ftf_ha","se35up96",0.02,0.2
"261","ftf_ha","yeq23hvc",0.2,0.1
"262","ftf_ha","yeq23hvc",0.12,0.2
"263","ftf_ha","yeq23hvc",0.65,0.9
"264","ftf_ha","yeq23hvc",0.15,0.4
"265","ftf_ha","yeq23hvc",0.45,0.6
"266","ftf_ha","yeq23hvc",0.35,0.45
"267","ftf_ha","yeq23hvc",0.85,0.8
"268","ftf_ha","yeq23hvc",0.25,0.55
"269","ftf_ha","yeq23hvc",0.55,0.3
"270","ftf_ha","yeq23hvc",0.7,0.7
"271","ftf_ha","b9msp3lz",0.68,0.9
"272","ftf_ha","b9msp3lz",0.7,0.7
"273","ftf_ha","b9msp3lz",0.32,0.4
"274","ftf_ha","b9msp3lz",0.6,0.3
"275","ftf_ha","b9msp3lz",0.45,0.55
"276","ftf_ha","b9msp3lz",0.3,0.2
"277","ftf_ha","b9msp3lz",0.45,0.6
"278","ftf_ha","b9msp3lz",0.38,0.45
"279","ftf_ha","b9msp3lz",0.6,0.8
"280","ftf_ha","b9msp3lz",0.38,0.1
"281","ftf_ha","3i3ble7h",0.53,0.2
"282","ftf_ha","3i3ble7h",0.67,0.3
"283","ftf_ha","3i3ble7h",0.26,0.1
"284","ftf_ha","3i3ble7h",0.26,0.55
"285","ftf_ha","3i3ble7h",0.28,0.6
"286","ftf_ha","3i3ble7h",0.74,0.9
"287","ftf_ha","3i3ble7h",0.43,0.8
"288","ftf_ha","3i3ble7h",0.23,0.45
"289","ftf_ha","3i3ble7h",0.37,0.7
"290","ftf_ha","3i3ble7h",0.25,0.4
"291","ftf_ha","qpb5tpsm",0.5,0.8
"292","ftf_ha","qpb5tpsm",0.3,0.2
"293","ftf_ha","qpb5tpsm",0.2,0.55
"294","ftf_ha","qpb5tpsm",0.25,0.6
"295","ftf_ha","qpb5tpsm",0.35,0.7
"296","ftf_ha","qpb5tpsm",0.15,0.45
"297","ftf_ha","qpb5tpsm",0.35,0.4
"298","ftf_ha","qpb5tpsm",0.4,0.1
"299","ftf_ha","qpb5tpsm",0.9,0.9
"300","ftf_ha","qpb5tpsm",0.8,0.3
"301","delphi","hk32vt81",0.66,0.8
"302","delphi","hk32vt81",0.4925,0.4
"303","delphi","hk32vt81",0.4875,0.1
"304","delphi","hk32vt81",0.56,0.55
"305","delphi","hk32vt81",0.695,0.9
"306","delphi","hk32vt81",0.3375,0.2
"307","delphi","hk32vt81",0.475,0.45
